artists,album_name,track_name,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,artist_count
Exaltasamba;Rodriguinho,25 Anos (Ao Vivo),Para de Falar Tanta Besteira,196053,False,0.669,0.837,9,-7.925,0,0.0513,0.683,0.0,0.933,0.922,147.998,4,samba,2
Will Ackerman,A Winter's Solstice V,Light And Song,198600,False,0.253,0.0373,1,-23.484,1,0.0393,0.943,0.948,0.111,0.087,180.621,3,new-age,1
Duo Retama,Wistu Vida,Quien No Lloro por Amor,271786,False,0.345,0.545,7,-6.957,1,0.0419,0.856,0.0449,0.177,0.529,81.38,4,guitar,1
The Whitlams,Torch The Moon,Royal In The Afternoon,178466,False,0.475,0.913,9,-4.541,0,0.048,0.0402,3.57e-05,0.104,0.849,147.925,4,piano,1
Babasónicos,tardes tranqui,Como Eran Las Cosas,242520,False,0.696,0.448,8,-9.099,1,0.0333,0.452,2.43e-05,0.0904,0.569,95.004,4,alt-rock,1
Ondubground;Chill Bump;Crenoka,Ondubground X Chill Bump,Fangs,242923,False,0.716,0.45,7,-11.913,1,0.173,0.243,0.0526,0.231,0.279,141.99,4,dub,3
Totoy El Frio;Kevin Roldan,Verano en Junio,Quillami,202733,True,0.72,0.666,4,-6.448,1,0.18,0.0718,0.0,0.315,0.944,172.051,4,reggaeton,2
Matanza,Odiosa Natureza Humana,Saco Cheio e Mau-Humor,209866,False,0.386,0.995,1,-4.197,0,0.109,0.0003,0.00059,0.119,0.273,175.17,4,hard-rock,1
The Neighbourhood,Chip Chrome & The Mono-Tones,Cherry Flavoured,208453,False,0.617,0.574,6,-9.768,1,0.0276,0.23,0.0105,0.0983,0.396,91.769,4,alt-rock,1
Skillet,Halloween Party Hits 2022,Monster,178013,False,0.64,0.957,8,-2.336,1,0.0741,0.0432,0.0,0.0789,0.691,134.99,4,rock,1
Dabin;Lowell,Between Broken,Holding On,217347,False,0.465,0.69,5,-5.171,1,0.0394,0.0515,9.04e-06,0.112,0.284,145.013,4,dubstep,2
Dora The Explorer,Dora The Explorer,Fairytale Land,63840,False,0.62,0.871,0,-3.595,1,0.0498,0.616,0.000255,0.18,0.94,119.663,4,kids,1
The Meatmen,Savage Sagas,I'm Gonna Fuck You Up,97200,True,0.45,0.973,0,-6.256,1,0.0701,0.00532,0.0,0.0804,0.792,91.56,4,hardcore,1
Dorgival Dantas;Cícero Dantas,Simplesmente Dorgival Dantas (Ao Vivo),Primeiro Passo - Ao Vivo,239146,False,0.373,0.782,9,-6.134,1,0.192,0.803,2.3e-06,0.717,0.408,170.661,4,forro,2
DJ Sneak,Polyester (The Complete Story),Get Up Stand Up,332303,False,0.738,0.963,8,-8.185,1,0.0619,0.000182,0.918,0.0472,0.439,125.122,4,chicago-house,1
Ben E. King,Don't Play That Song (Mono),Stand by Me,180055,False,0.65,0.306,9,-9.443,1,0.0393,0.57,7.07e-06,0.0707,0.605,118.068,4,rock,1
The Avett Brothers,Mignonette,Signs,222626,False,0.376,0.68,7,-5.775,1,0.0292,0.543,0.00222,0.088,0.428,153.753,4,bluegrass,1
Moon Ladder,Epsom Road,Eskgrow,195883,False,0.69,0.39,0,-11.915,1,0.051,0.835,0.944,0.106,0.609,168.115,4,study,1
Taku Iwasaki,JOJO'S BIZARRE ADVENTURE -O.S.T.] Battle Tendency [leicht verwendbar],awake,201626,False,0.308,0.915,6,-4.66,1,0.0476,3.15e-05,0.00868,0.282,0.549,180.037,4,anime,1
Lamb of God,Sacrament,Walk with Me In Hell,311506,False,0.286,0.982,0,-3.828,0,0.131,3.39e-05,0.00675,0.309,0.118,110.629,4,metal,1
Purples,Puro e Simples,Grandioso Deus,243200,False,0.579,0.594,7,-5.201,0,0.0327,0.6,0.0,0.115,0.424,125.979,4,groove,1
Ollie,Sunsets & Goodbyes,sad sad,241584,False,0.801,0.392,10,-6.458,1,0.229,0.865,0.00289,0.127,0.495,80.008,4,sad,1
Emilian Kaminski;Chor Chlopiecy Towarzystwa Spiewaczego,Najlepsze Piosenki Pana Kleksa,Dyscyplina,138720,False,0.838,0.685,0,-9.163,1,0.106,0.148,0.0,0.1,0.972,122.538,4,disney,2
Almir Guineto,Zeca Apresenta: O Quintal Do Pagodinho,Mordomia - Ao Vivo,207000,False,0.549,0.61,11,-8.118,0,0.13,0.809,8.28e-06,0.785,0.809,121.2,4,samba,1
Shiritsu Ebisu Chugaku,MUSiC,イート・ザ・大目玉,238453,False,0.55,0.913,10,-3.784,0,0.111,0.000932,0.0,0.045,0.672,174.98,4,j-idol,1
Highlands Worship,Jesus You Alone,Jesus You Alone,372150,False,0.276,0.54,4,-7.566,1,0.0352,0.00823,0.0,0.929,0.0965,159.749,3,world-music,1
Flor de Loto,25 Canciones de la Naturaleza - Sonidos de la Naturaleza y Ruido Blanco para Relajación Profunda y Meditación,Estudio - Equilibrio de Meditación Chakra,253000,False,0.19,0.445,1,-16.112,0,0.048,0.786,0.837,0.151,0.118,119.421,3,world-music,1
Gladys Knight & The Pips,The Essential Gladys Knight & The Pips,"Baby, Don't Change Your Mind",194000,False,0.665,0.759,0,-7.735,1,0.0546,0.537,3.56e-05,0.105,0.773,113.012,4,disco,1
Jamie Cullum,Weihnachten Playlist,So Many Santas,208413,False,0.508,0.706,1,-6.294,1,0.0475,0.15,0.0,0.376,0.479,114.842,4,jazz,1
Jordan Chan,秋日思念絮語,獨家記憶,307093,False,0.329,0.506,6,-7.967,1,0.0455,0.586,0.0,0.0841,0.488,159.602,4,mandopop,1
Barão Vermelho,Balada MTV,Enquanto ela não chegar,253733,False,0.436,0.786,7,-6.569,1,0.0447,0.0684,5.66e-06,0.636,0.251,184.786,4,brazil,1
George Ezra,Gold Rush Kid,Green Green Grass,167613,False,0.685,0.738,8,-4.413,1,0.0595,0.0695,0.0,0.128,0.8,112.972,4,folk,1
Roman Tam,我的挑選,親情 - 無線電視劇[親情]主題曲,187360,False,0.236,0.348,11,-11.744,0,0.032,0.435,1.42e-05,0.213,0.13,78.79,3,mandopop,1
Hayd,Changes - EP,Closure,196277,False,0.692,0.107,2,-16.182,1,0.0463,0.967,0.0,0.302,0.377,123.999,4,singer-songwriter,1
Khantrast,I'm Toxic,I'm Toxic,116323,True,0.75,0.727,11,-8.445,1,0.0669,0.214,0.0,0.0557,0.847,109.923,4,sad,1
Dosseh,RAP MUSCULATION RENTRÉE 2022,Cardio,181408,True,0.937,0.658,0,-6.42,0,0.177,0.207,0.0,0.193,0.401,130.057,4,french,1
Jay Filson,"Don't Think Twice, It's All Right (Acoustic)","Don't Think Twice, It's All Right - Acoustic",210901,False,0.489,0.124,9,-10.145,1,0.0436,0.952,0.0,0.243,0.257,91.386,4,acoustic,1
Catherine Zeta-Jones;Susan Misner;Deidre Goodwin;Denise Faye;Ekaterina Chtchelkanova;Mya Harrison;Taye Diggs,Chicago - Music From The Miramax Motion Picture,Cell Block Tango,442733,False,0.601,0.34,1,-12.092,1,0.363,0.393,0.0,0.456,0.654,125.309,4,show-tunes,7
Louyah,6FEET,You,233196,False,0.808,0.266,11,-9.56,1,0.0326,0.818,1.1e-05,0.0907,0.666,100.034,4,sad,1
Mark Broom,PINK II,Klub Tool - Original Mix,306952,False,0.788,0.767,11,-9.829,0,0.0584,0.000318,0.939,0.106,0.134,135.006,4,dub,1
David Nevue,Revelation: Solo Piano For Prayer & Worship,"Holy, Holy, Holy",300320,False,0.27,0.139,5,-19.999,1,0.0488,0.978,0.939,0.101,0.0938,126.485,4,new-age,1
Old Norse,Hall in Bonn,Runic Inscriptions on Parapets,192000,False,0.145,0.00148,7,-33.379,1,0.0489,0.945,0.809,0.0916,0.037,137.571,3,sleep,1
Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",Dancing Shoes,141133,False,0.522,0.889,1,-4.137,1,0.0461,0.00328,0.0,0.345,0.852,144.499,4,garage,1
Sajeer Koppam;Nysha Fathima,Neeyen Kithab,Ishalayi Neeye,271751,False,0.42,0.377,3,-11.176,0,0.0337,0.539,0.000335,0.15,0.228,139.71,3,malay,2
Bethel Music;Jenn Johnson,"Peace, Vol. II",You're Gonna Be Ok,261519,False,0.487,0.15,8,-10.057,1,0.0402,0.912,0.0,0.11,0.222,117.995,4,ambient,2
La Sonora Dinamita;Pablo Montero,Lo Más Escuchado De,Se Me Perdió La Cadenita,159293,False,0.799,0.824,7,-3.662,1,0.0444,0.782,0.00138,0.0904,0.813,97.027,4,salsa,2
CoComelon,"CoComelon Kids Hits, Vol. 1",Humpty Dumpty,128127,False,0.881,0.453,9,-10.504,1,0.0675,0.55,0.00594,0.0881,0.974,115.004,1,children,1
Jet Black Stare,In This Life,Ready To Roll,191240,False,0.408,0.979,1,-2.801,1,0.0826,1.87e-05,0.0911,0.136,0.663,169.939,4,grunge,1
Seven Lions;JT Roach,Beyond The Veil,Beyond The Veil (feat. JT Roach),291079,False,0.577,0.842,0,-8.0,1,0.0322,0.193,0.146,0.0713,0.0385,110.016,4,dubstep,2
Xande De Pilares;André Renato,Esse Menino Sou Eu,Eu Sou De Jorge,227394,False,0.691,0.804,7,-5.235,0,0.0446,0.545,0.0,0.0733,0.942,92.011,4,pagode,2
Bishop Briggs,LoFi & Halloween,Dark Side,208773,False,0.713,0.55,9,-5.982,1,0.065,0.613,1.12e-06,0.0887,0.13,138.07,4,alt-rock,1
Sricharan Pakala;Anirudh Ravichander,DJ Tillu,Pataas Pilla,202000,False,0.754,0.545,7,-11.195,1,0.226,0.275,0.0,0.0792,0.544,150.024,3,indie,2
William Orbit,Que vienen los DJ's!,Barber's Adagio for Strings - Ferry Corsten Remix,218826,False,0.481,0.941,1,-7.395,1,0.0325,2.49e-05,0.83,0.0837,0.26,135.01,4,trip-hop,1
Zeca Pagodinho,Zeca Pagodinho Ao Vivo,Vivo Isolado Do Mundo - Ao Vivo,179933,False,0.578,0.88,2,-7.419,0,0.0947,0.362,0.0,0.366,0.724,112.685,4,samba,1
Roberta Miranda,Senhora Raiz,Chalana,190493,False,0.753,0.245,5,-9.439,1,0.0322,0.757,0.0,0.105,0.407,97.906,3,sertanejo,1
Pepe Jara,El Último de Los Grandes Trovadores,Orgullo,176826,False,0.675,0.36,9,-11.372,1,0.0403,0.909,0.0,0.379,0.624,100.71,4,guitar,1
In Flames,The Great Deceiver,The Great Deceiver,225314,False,0.373,0.985,10,-4.199,0,0.114,5.84e-06,0.549,0.254,0.279,169.967,4,goth,1
Baron Vaughn,Raised by Cable,Vegas,170946,True,0.636,0.653,9,-8.661,1,0.934,0.832,0.0,0.663,0.682,124.057,4,comedy,1
La Sonora Matancera;Bienvenido Granda,Sonora Matancera Vol. 4 - La Habana Cuba 1949-1958,Sujetate La Lengua,220040,False,0.509,0.502,6,-9.525,0,0.0566,0.744,0.0287,0.0201,0.729,100.623,4,salsa,2
The Chemical Brothers,Dig Your Own Hole,Block Rockin' Beats,313666,False,0.558,0.982,10,-3.125,0,0.063,0.0227,0.522,0.117,0.69,109.369,4,breakbeat,1
Wax Tailor,In the Mood for Life (Instrumental Version),B-Boy On Wax - Instrumental,246960,False,0.82,0.768,7,-6.865,1,0.0396,0.0286,0.917,0.0976,0.636,101.966,4,trip-hop,1
Flesh Parade,Kill Whitey,Backstabber,74373,False,0.341,0.829,7,-9.149,1,0.0619,6.14e-05,0.0586,0.244,0.72,107.799,4,grindcore,1
Yasser Desai,Jashne Amade Rasool,Haal-E-Dil Kisko Sunaayein,209407,False,0.307,0.152,1,-8.566,0,0.0324,0.692,0.0,0.139,0.281,174.17,4,pop-film,1
Soundgarden,Rock & Halloween,Black Hole Sun,318586,False,0.351,0.827,6,-5.351,1,0.0412,0.000222,0.000118,0.0755,0.145,105.463,4,metal,1
Beach Fossils,What a Pleasure,What a Pleasure,152684,False,0.523,0.938,2,-4.362,1,0.0652,0.000176,0.929,0.32,0.877,152.009,4,garage,1
Amaranthe,The Nexus,Burn With Me,240840,False,0.452,0.889,5,-5.504,0,0.0604,0.00197,0.0,0.132,0.536,90.016,4,goth,1
Imanbek;BYOR,Belly Dancer,Belly Dancer,151475,False,0.845,0.797,1,-4.984,1,0.139,0.0582,5.57e-06,0.167,0.422,121.985,4,edm,2
Joey Cape,Acoustic,Wind in Your Sails,226786,False,0.644,0.34,0,-6.759,1,0.027,0.491,0.0,0.0829,0.298,129.997,4,acoustic,1
Grupo Yndio,20 Exitos,La Cancion De Los Dos,200359,False,0.604,0.663,5,-7.088,1,0.0256,0.282,0.0,0.0909,0.584,105.418,3,rock-n-roll,1
Phil Wickham,Children of God Acoustic Sessions,Divine / Sailing / Time / Hymn - Acoustic,464398,False,0.282,0.3,11,-10.28,1,0.035,0.466,0.0,0.107,0.266,155.654,4,world-music,1
David Guetta;Bebe Rexha;REAPER,I'm Good (Blue) [REAPER Remix],I'm Good (Blue) - REAPER Extended Remix,209655,True,0.466,0.982,5,-2.674,0,0.0752,0.00841,0.323,0.358,0.37,173.958,4,edm,3
Sohn Aelia,Uitblinken,Uitblinken,179789,False,0.199,0.0334,0,-29.758,1,0.0441,0.965,0.942,0.0819,0.0355,64.8,3,sleep,1
Big Sean;Hit-Boy;A$AP Ferg,GANG GANG - HIP HOP & RAP,Bezerk,151066,True,0.684,0.687,2,-4.673,1,0.201,0.0164,0.0,0.253,0.265,184.034,4,hip-hop,3
Shawn Mendes,Sunny Mornings,Treat You Better,187973,False,0.443,0.82,10,-4.091,0,0.34,0.107,0.0,0.107,0.771,82.697,4,dance,1
Luis Ángel Gómez Jaramillo;Gael Garcia Bernal,Coco (Original Motion Picture Soundtrack),Un Poco Loco,112205,False,0.629,0.504,7,-6.827,1,0.156,0.715,2.04e-05,0.361,0.57,127.444,4,disney,2
James Hype,Electro sounds,Crank,178804,False,0.846,0.906,1,-5.157,1,0.0468,0.0227,0.883,0.0703,0.325,126.02,4,groove,1
my little airport,TASTE OF TEARS (Live),驗孕的下晝 - Live,154610,False,0.631,0.324,0,-14.697,1,0.0333,0.39,0.000286,0.604,0.428,84.872,4,cantopop,1
Twin Strings,Doorie,Doorie,233826,False,0.418,0.293,8,-11.182,0,0.0285,0.812,0.000131,0.106,0.133,137.747,3,indie,1
blessthefall,Witness,"Hey Baby, Here's That Song You Wanted",194800,False,0.199,0.955,3,-2.774,0,0.111,0.00191,2.1e-05,0.098,0.454,184.916,4,metalcore,1
Raimundos,Nana neném / Reggae do manêro,Reggae do manêro,289933,False,0.784,0.59,11,-7.355,0,0.0879,0.0116,0.00174,0.0434,0.944,144.981,4,hard-rock,1
Smg;Atteev;Frntflw,One Dance,One Dance,192000,False,0.856,0.329,11,-10.743,1,0.0644,0.642,8.29e-06,0.103,0.348,99.921,4,electronic,3
Nicky Jam;Enrique Iglesias,Fénix,El Perdón (with Enrique Iglesias),205906,False,0.628,0.69,8,-5.83,1,0.0511,0.443,0.0,0.113,0.66,179.908,4,latin,2
DJ Snake;Selena Gomez,pov: it's 2021,Selfish Love,168648,False,0.725,0.681,5,-6.8,0,0.103,0.0201,0.301,0.0995,0.453,110.938,4,electronic,2
Yuvan Shankar Raja;Sid Sriram,"High On Love (From ""Pyaar Prema Kaadhal"" Original Motion Picture Soundtrack)",High On Love,240169,False,0.627,0.779,4,-4.944,0,0.0392,0.214,9.34e-06,0.112,0.619,149.929,4,pop,2
Marvin Gaye,Christmas Day Chill,I Want To Come Home For Christmas,205133,False,0.309,0.564,6,-6.955,0,0.038,0.119,0.00175,0.111,0.488,179.106,3,funk,1
Carrie Nation and the Speakeasy,Hatchetations,Promised Land,172333,False,0.582,0.815,7,-9.68,1,0.0889,0.138,0.0142,0.105,0.911,145.999,4,goth,1
Daya,New,New,230879,True,0.715,0.742,0,-4.331,1,0.0347,0.052,2.47e-05,0.364,0.322,106.971,4,electro,1
Cannibal Corpse,Gallery of Suicide,Headless,142266,True,0.242,0.975,1,-8.067,1,0.104,1.95e-06,0.895,0.132,0.198,127.557,1,death-metal,1
Los Pirañas,Historia natural,Puerta del sol,270090,False,0.573,0.856,9,-7.321,0,0.0392,0.0736,0.79,0.0889,0.929,103.748,4,afrobeat,1
Survive Said The Prophet,RED,RED,253893,False,0.449,0.693,5,-4.592,1,0.0351,0.0165,0.0,0.302,0.423,107.997,4,j-rock,1
Xad,Forever,Forever,182361,False,0.695,0.505,6,-9.036,0,0.111,0.828,0.104,0.0985,0.479,107.983,4,french,1
Maria Bethânia,"Tempo, Tempo, Tempo, Tempo (ao Vivo)",Oração Ao Tempo - Ao Vivo,186083,False,0.374,0.334,7,-10.399,1,0.105,0.78,0.0,0.675,0.333,75.696,4,r-n-b,1
Paulo Londra;Duki,Party en el Barrio (feat. Duki),Party en el Barrio (feat. Duki),236143,True,0.527,0.665,10,-7.108,1,0.164,0.0168,1.29e-06,0.324,0.546,135.026,4,latino,2
Rose Nascimento,Sempre Fiel,Deus Está Contigo,255746,False,0.644,0.57,7,-7.204,1,0.0326,0.785,0.0,0.118,0.326,129.993,4,brazil,1
Deadly Guns;Malice,The Chosen Ones,Fuel & Fire,206400,False,0.619,0.973,1,-0.883,1,0.0947,0.00465,0.00201,0.289,0.144,100.036,4,hardcore,2
Horcas,Por Tu Honor,En la Jaula,237586,False,0.309,0.98,1,-3.758,1,0.119,8.04e-05,0.0029,0.311,0.241,147.722,4,heavy-metal,1
Wu Bai,伍佰力,突然的自我,216053,False,0.601,0.597,1,-6.162,0,0.0242,0.502,0.0,0.387,0.798,78.502,4,mandopop,1
Juliano Son,Mais um Dia (ao Vivo),Vai Valer a Pena - Ao Vivo,297365,False,0.313,0.869,0,-4.113,1,0.0508,0.133,0.00174,0.703,0.221,127.875,4,brazil,1
Derrick May,Innovator (Mayday),Sinister,397946,False,0.783,0.925,4,-11.803,0,0.0793,0.000178,0.934,0.0463,0.88,132.514,4,detroit-techno,1
Lucas Lucco,O Destino (Bonus Track Version),11 Vidas,189893,False,0.624,0.622,7,-5.78,1,0.03,0.804,0.0,0.155,0.457,140.021,4,funk,1
The Rolling Stones,The Rolling Stones In Mono (Remastered 2016),Midnight Rambler - Mono,412640,False,0.497,0.649,4,-10.09,1,0.0741,0.701,1.33e-05,0.138,0.52,128.248,4,british,1
The Acacia Strain,Wormwood,Terminated,194386,False,0.52,0.991,11,-4.428,0,0.107,9.76e-05,0.0181,0.34,0.252,120.04,4,death-metal,1
Claire Rosinkranz,Best Road Trip Pop Tunes,Boy In A Billion,207678,False,0.513,0.458,10,-7.3,1,0.142,0.437,0.0,0.295,0.488,79.039,4,indie-pop,1
PLÜM,Rêve sans fin,Rêve sans fin,155000,False,0.797,0.554,9,-8.161,0,0.0665,0.322,0.0709,0.0939,0.403,112.976,4,french,1
Vader,Tibi Et Igni,Triumph of Death,225920,False,0.555,0.959,1,-4.58,1,0.0668,2.68e-05,0.543,0.0969,0.299,102.531,4,black-metal,1
Kid Rock;Sheryl Crow;Bob Seger,Chillin' It - Mellow Day Country,Collide,288773,False,0.433,0.732,9,-4.197,1,0.0316,0.0375,2.53e-06,0.0692,0.592,199.943,4,alternative,3
Papa Dance,Nasz Disneyland (The Best),Kamikaze wróć!,224213,False,0.719,0.89,11,-7.199,1,0.032,0.141,0.0,0.121,0.975,127.848,4,synth-pop,1
Tren Loco,Venas De Acero,Pueblo Motoquero,286653,False,0.479,0.943,8,-3.872,1,0.0451,0.000289,0.0043,0.151,0.468,139.983,4,heavy-metal,1
voXXclub,Rock Mi - Die größten Hits,Hitmedley,358653,False,0.407,0.936,3,-4.503,1,0.195,0.028,0.0,0.0686,0.6,127.047,4,party,1
George Winston,Night,Wahine Hololio,373986,False,0.506,0.00873,6,-20.697,0,0.067,0.992,0.817,0.0925,0.31,132.482,4,new-age,1
TV Girl,French Exit,Lovers Rock,213920,False,0.559,0.871,5,-5.338,0,0.0397,7.53e-06,0.00545,0.096,0.572,104.97,4,indie,1
Artie Lange,The Stench of Failure,Mental Institution Scrabble,233501,True,0.5,0.921,8,-4.749,1,0.927,0.701,0.0,0.96,0.589,60.03,5,comedy,1
Robert Hood,DJ-Kicks (Robert Hood) [DJ Mix],Focus - Mixed,279800,False,0.68,0.446,1,-16.186,1,0.0455,0.031,0.89,0.223,0.0388,130.612,4,chicago-house,1
Milk & Sugar,Selection ADE 2022,Stay Around - Earth n Days Remix,236250,False,0.64,0.971,6,-3.455,0,0.105,0.00418,0.28,0.246,0.865,123.956,4,electronic,1
alva noto,HYbr:ID I,HYbr:ID oval collider,379294,False,0.642,0.187,0,-22.659,0,0.0454,0.107,0.719,0.0881,0.0372,139.769,4,idm,1
Bobby Darin,The Ultimate Bobby Darin,Dream Lover,150706,False,0.526,0.774,5,-1.692,1,0.0459,0.715,0.0,0.437,0.715,131.715,4,rockabilly,1
Kidz Bop Kids,Diversión para los peques,Todo de Ti,151226,False,0.803,0.64,3,-4.832,0,0.0317,0.00701,6.78e-05,0.0925,0.735,127.951,4,children,1
Fairlane,Believer,Believer,199111,False,0.69,0.875,10,-3.669,0,0.0791,0.0543,1.2e-05,0.0894,0.455,135.018,4,dub,1
Fritz Kalkbrenner,Grand Départ,Inside - Radio Edit,192533,False,0.793,0.667,0,-10.096,0,0.059,0.067,0.295,0.101,0.633,116.996,4,minimal-techno,1
Joey Montana,Queda poco para la PAES 2.0,La Melodía,219103,False,0.701,0.835,9,-5.35,1,0.0284,0.226,2.94e-06,0.293,0.76,116.991,4,reggae,1
Pantera,Cowboys from Hell,Cowboys from Hell,243533,True,0.415,0.908,2,-9.701,1,0.0765,0.00437,0.0345,0.082,0.437,114.816,4,metal,1
R3HAB;A Touch Of Class,All Around the World (La La La),All Around the World (La La La),147840,False,0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,4,progressive-house,2
Mavado,Enemy Line,Enemy Line,190693,True,0.866,0.694,7,-6.001,0,0.21,0.441,0.0,0.112,0.686,103.083,4,dancehall,1
Chuck Berry,"It's Christmas, Let's Dance",Run Rudolph Run,162897,False,0.647,0.876,10,-5.662,1,0.185,0.881,3.59e-05,0.26,0.949,151.925,4,rock-n-roll,1
Linkin Park,LIVING THINGS,LIES GREED MISERY,146493,False,0.545,0.962,7,-4.552,1,0.14,0.0133,0.0,0.059,0.539,160.017,4,grunge,1
Markus Becker,Nano (vom Planeten X),Nano (vom Planeten X),190750,False,0.687,0.971,7,-2.951,0,0.0775,0.0124,0.0,0.0783,0.692,131.961,4,party,1
JJ Lin,JJ林俊傑100天,背對背擁抱,234890,False,0.392,0.564,3,-4.787,1,0.0333,0.644,0.0,0.226,0.349,129.549,4,mandopop,1
Maneli Jamal,The Lamaj Movement,We Made It,239109,False,0.484,0.0701,6,-19.335,1,0.0586,0.961,0.516,0.0917,0.309,114.539,3,guitar,1
a-ha,Hunting High and Low (Deluxe Edition),Take on Me,228520,False,0.526,0.931,6,-6.436,0,0.0473,0.0118,0.00182,0.0537,0.81,169.422,4,synth-pop,1
Bad Bunny,YHLQMDLG,A Tu Merced,175918,False,0.86,0.791,0,-4.784,1,0.0568,0.169,0.000106,0.106,0.887,92.023,4,latino,1
Rammstein,Mutter,Sonne,272440,False,0.51,0.917,4,-4.806,0,0.0854,0.0054,0.000133,0.396,0.313,75.098,4,german,1
Alan Menken,Tangled,"Waiting for the Lights - From ""Tangled""/Score",167693,False,0.182,0.115,4,-16.315,1,0.0376,0.935,0.82,0.494,0.0486,143.274,4,show-tunes,1
Bethel Music;Zach Vestnys;Abby Vestnys,Simple,Jesus My King,195846,False,0.321,0.148,0,-13.452,1,0.0311,0.81,0.0,0.131,0.166,139.766,3,world-music,3
Armin van Buuren;Trevor Guthrie,Intense,This Is What It Feels Like,204360,False,0.551,0.833,8,-5.217,1,0.03,0.0391,2.77e-06,0.0632,0.145,129.885,5,progressive-house,2
EDIS,Martılar,Martılar,157439,False,0.84,0.611,11,-6.904,0,0.0718,0.0615,0.0,0.131,0.898,122.997,4,turkish,1
Grupo Revelação,Ao Vivo No Morro,Saudades do Amor,208613,False,0.573,0.864,0,-6.094,1,0.0349,0.615,0.0,0.258,0.946,107.78,4,pagode,1
Robert Schimmel,Life Since Then,Bargaining with God,127146,True,0.621,0.407,10,-20.443,0,0.949,0.886,0.0,0.689,0.529,122.618,5,comedy,1
Kid Abelha,Seu Espião (Remasterizado),Fixação,381440,False,0.821,0.588,11,-9.26,0,0.0477,0.0177,0.0434,0.0361,0.933,117.637,4,mpb,1
Cyclo;Piter-G,La Oveja Negra,No Seré Capaz,185945,False,0.702,0.332,1,-9.989,0,0.04,0.758,0.0,0.088,0.308,110.994,3,spanish,2
Calvin Harris;Ellie Goulding,18 Months,I Need Your Love (feat. Ellie Goulding),234506,False,0.695,0.869,8,-5.066,1,0.0483,0.41,0.0,0.237,0.58,124.989,4,progressive-house,2
Daddy Yankee;Wisin & Yandel,Fiesta Reggaeton 2010s,Si Supieras,241880,False,0.691,0.894,9,-1.681,0,0.115,0.291,0.0,0.104,0.623,184.018,4,hip-hop,2
Fast Eddie,Jack to the Sound,Acid Thunder,272419,False,0.772,0.887,11,-9.11,1,0.0475,5.7e-05,0.387,0.476,0.774,124.185,4,chicago-house,1
Deep Chills;Coral Reef;Bikini Bandits;Julia Raye,Talkin' Bout a Revolution,Talkin' Bout a Revolution,153065,False,0.718,0.767,7,-6.695,1,0.0482,0.616,0.000956,0.14,0.424,117.952,4,french,4
W&W;AXMO;SONJA,StarShine (I Don't Want This Night To End),StarShine (I Don't Want This Night To End),177600,False,0.437,0.917,1,-2.027,1,0.0488,0.0135,1.49e-06,0.512,0.289,150.0,4,trance,3
When Chai Met Toast,When We Feel Young,Kahaani,215173,False,0.596,0.358,0,-12.993,1,0.0255,0.9,0.0503,0.108,0.43,94.932,4,folk,1
Hillsong Worship,Simply Worship,I Give You My Heart,467573,False,0.431,0.361,7,-10.6,1,0.0247,0.587,0.0,0.129,0.15,76.851,4,world-music,1
A.R. Rahman;Jaswinder Singh;Shiraz Uppal,Raanjhanaa (Original Motion Picture Soundtrack),Raanjhanaa,254653,False,0.673,0.714,9,-8.042,1,0.039,0.111,0.0,0.0858,0.78,112.941,4,pop,3
Alexander O'Neal,Funk You,What's Missing,343240,False,0.765,0.765,11,-8.261,0,0.0358,0.0194,0.0,0.1,0.932,110.973,4,disco,1
prxz;Shiloh Dynasty,Love Wounds,Love Is More Depressing Than Depression,133267,False,0.793,0.215,9,-16.636,0,0.24,0.733,0.0426,0.143,0.335,100.141,4,sad,2
Antonio Garcia Isaac;Roberto Aguilar;Felipe Gutierrez,Trios,Mi Negra Linda,188894,False,0.716,0.499,0,-9.087,1,0.0336,0.87,0.924,0.105,0.604,108.002,4,guitar,3
LUDMILLA;Orochi,I Love You Too (Ao Vivo),I Love You Too - Ao Vivo,191641,False,0.704,0.571,2,-5.939,0,0.0747,0.777,0.0,0.134,0.707,127.943,4,pagode,2
Omar S,Thank You for Letting Me Be Myself,Ready My Black Asz,324668,False,0.8,0.915,1,-9.861,1,0.0642,0.0032,0.917,0.155,0.475,120.585,3,detroit-techno,1
Hank Williams,The Complete Hank Williams,Men With Broken Hearts,189640,False,0.685,0.175,9,-15.138,1,0.0444,0.921,0.0,0.0885,0.456,110.153,3,honky-tonk,1
STEELHEART,Heavy Metal Summer,She's Gone,392400,False,0.416,0.559,0,-10.751,0,0.0349,0.00346,0.0831,0.148,0.152,137.18,4,hard-rock,1
The Qemists,Warrior Sound,Run You,260906,True,0.342,0.886,2,-2.785,1,0.0459,0.000954,1.19e-05,0.103,0.576,174.008,4,drum-and-bass,1
"Roger Bart;Anthony Rapp;You're a Good Man, Charlie Brown Ensemble (1999)","You're a Good Man, Charlie Brown (New Broadway Cast Recording (1999))",Suppertime,278000,False,0.504,0.333,7,-12.575,1,0.303,0.298,0.0,0.297,0.305,82.921,4,disney,3
